utc_session_id,item_id,utc_drop_type_id,drop_rate
1,リカバリー,1,3
1,メガロドン,1,2
1,ミラージュシュート,1,2
1,オーディンソード,1,2
1,ユニコーンブースト,1,3
1,力のペンダント銅,1,10
1,ヘルファイア,2,15
1,パラディンストライク,2,15
1,古びたピンバッチ,2,5
2,イカサマ！,1,3
2,だいばくはつはりて,1,2
2,フラッシュアッパー,1,2
2,ローリングスライド,1,2
2,ミリオンハンズ,1,3
2,守りのペンダント銅,1,10
2,ウェルカムバック,2,15
2,シュートラップ,2,15
2,古びたピンバッチ,2,5
3,おいろけUP！,1,3
3,シザース・ボム,1,2
3,ウルトラムーン,1,2
3,ジ・イカロス,1,2
3,エアライド,1,3
3,力のペンダント銅,1,10
3,ドッグラン,2,20
3,ジグザグフレイム,2,20
3,古びたピンバッチ,2,5
4,イケメンUP！,1,3
4,ドラゴンスレイヤー,1,2
4,ストーンプリズン,1,2
4,グラディウスアーチ,1,2
4,デーモンカット,1,3
4,守りのペンダント銅,1,10
4,エコーボール,2,15
4,ガラティーン,2,15
4,古びたピンバッチ,2,5
5,ラッキー！,1,3
5,グレートバリアリーフ,1,2
5,グレイブストーン,1,2
5,カポエィラスナッチ,1,2
5,グランドクェイク,1,3
5,力のペンダント銅,1,10
5,コロッセオガード,2,15
5,パワーチャージ,2,15
5,古びたピンバッチ,2,5
6,やくびょうがみ,1,3
6,アストロゲート,1,2
6,ゴッドノウズ,1,2
6,ストライクサンバ,1,2
6,ジャッジスルー３,1,2
6,ネオ・ギャラクシー,1,3
6,守りのペンダント銅,1,10
6,デザートストーム,2,20
6,じばしりかえん,2,20
6,古びたピンバッチ,2,5
7,グングニル,1,2
7,ドリルスマッシャー,1,2
7,カオスブレイク,1,2
7,プロキオンネット,1,2
7,ヘルファイア,2,15
7,ウェルカムバック,2,15
7,古びたピンバッチ,2,5
8,グングニル,1,2
8,ドリルスマッシャー,1,2
8,カオスブレイク,1,2
8,トリプルダッシュ,1,2
8,シグマゾーン,2,10
8,マッドエクスプレス,2,10
8,古びたピンバッチ,2,5
